Date,Close,High,Low,Open,Volume
2015-01-02,24.214889526367188,24.682221739158916,23.7763496768566,24.671146843393636,212818400
2015-01-05,23.532718658447266,24.064281582572935,23.346672564388854,23.984547059464486,257142000
2015-01-06,23.53493881225586,23.79407522071628,23.17391806682534,23.596954189686496,263188400
2015-01-07,23.864946365356445,23.96461367890052,23.632387047364233,23.74312925787633,160423600
2015-01-08,24.781898498535156,24.839484936863993,24.07536246185409,24.192750656468547,237458000
2015-01-09,24.808467864990234,25.083108045057088,24.409795273125567,24.954646688812712,214798000
2015-01-12,24.19717788696289,24.94579477298944,24.097510553276788,24.939150509382685,198603200
2015-01-13,24.412015914916992,24.983446191297645,24.121871831314078,24.680011891872518,268367600
2015-01-14,24.318984985351562,24.4718080546312,24.031054622711164,24.150656387663712,195826400
2015-01-15,23.658964157104492,24.376573158668013,23.623527530872572,24.36328463505503,240056000
2015-01-16,23.475135803222656,23.82729694872675,23.300162889264197,23.7054798283151,314053200
2015-01-20,24.079784393310547,24.13515549366684,23.58808875177998,23.8848770385896,199599600
2015-01-21,24.26362419128418,24.598064521947254,23.980122652281484,24.130732158398505,194303600
2015-01-22,24.89484977722168,24.91035361942313,24.30127144897852,24.42087324158633,215185600
2015-01-23,25.023305892944336,25.193848121334245,24.702152529390762,24.872696447572384,185859200
2015-01-26,25.049896240234375,25.328967179234155,24.983451905096164,25.191646182947018,222460000
2015-01-27,24.172807693481445,24.91256648080197,24.148444273882177,24.899276267516615,382274800
2015-01-28,25.53936767578125,26.161740038857733,25.53936767578125,26.053211457485503,585908400
2015-01-29,26.334503173828125,26.398733871324843,25.59474418351453,25.76307284971998,337745600
2015-01-30,25.949111938476562,26.57812679485473,25.880450628531435,26.22375210888169,334982000
2015-02-02,26.274694442749023,26.394296224615175,25.709910222027197,26.14623477167078,250956400
2015-02-03,26.279125213623047,26.376577203589342,26.04878122769849,26.24590221463348,207662800
2015-02-04,26.48067855834961,26.691089785876024,26.20382301407181,26.24590559753552,280598800
2015-02-05,26.669681549072266,26.734165723731444,26.51625362672937,26.687468941440304,168984800
2015-02-06,26.445098876953125,26.738612055777654,26.338366040807443,26.687468849685565,174826400
2015-02-09,26.620765686035156,26.64744762610821,26.33392295502217,26.36060659155632,155559200
2015-02-10,27.132190704345703,27.161098402837805,26.718605344105995,26.720827708250635,248034000
2015-02-11,27.76813507080078,27.77702961636251,27.238922333336244,27.29895839530153,294247200
2015-02-12,28.11945915222168,28.34626580003288,27.92156019868773,28.030515402030247,297898000
2015-02-13,28.25731658935547,28.301787607627077,27.939343888977742,28.301787607627077,217088800
2015-02-17,28.42409896850586,28.65757616660402,28.2217518372926,28.348496165741523,252609600
2015-02-18,28.621990203857422,28.635331172766996,28.339593921224484,28.379618524414152,179566800
2015-02-19,28.56195068359375,28.69091902994298,28.535268747425526,28.568621167635808,149449600
2015-02-20,28.795433044433594,28.795433044433594,28.47301381634293,28.599756429130103,195793600
2015-02-23,29.573692321777344,29.573692321777344,28.8310154492011,28.91106467691681,283896400
2015-02-24,29.389131546020508,29.707106062803202,29.16677297786456,29.56034859351888,276912400
2015-02-25,28.637557983398438,29.26238839870181,28.495248638062286,29.253492156099437,298846800
2015-02-26,29.000003814697266,29.100064490965032,28.152818219815735,28.637558265830563,365150000
2015-02-27,28.564178466796875,29.0333551042649,28.515259318403285,28.906609112630072,248059200
2015-03-02,28.70425796508789,28.968865123087966,28.52859624288527,28.739836139406872,192386800
2015-03-03,28.764301300048828,28.799879481281902,28.481905000009753,28.67535923988826,151265200
2015-03-04,28.581966400146484,28.808773070180983,28.53305064084708,28.706490037661048,126665200
2015-03-05,28.10834312438965,28.628661280150922,27.963809737857854,28.590860736485048,226068400
2015-03-06,28.15058708190918,28.76651940937423,28.074986002662115,28.550831382817552,291368400
2015-03-09,28.27066421508789,28.81099722348831,27.808158051686863,28.452998147289698,354114000
2015-03-10,27.685867309570312,28.288458858638602,27.527992921124646,28.10834895145407,275426400
2015-03-11,27.181108474731445,27.743675330611506,27.152202474172537,27.73922890608748,275756000
2015-03-12,27.672515869140625,27.77257821643837,27.045464939292476,27.196668793831925,193450800
2015-03-13,27.481287002563477,27.88375705290027,27.25670613246225,27.661398546412165,207309200
2015-03-16,27.783695220947266,27.783695220947266,27.32119080820845,27.54577168246317,143497200
2015-03-17,28.248432159423828,28.31069228587761,27.93935389134169,27.99494353231274,204092400
2015-03-18,28.56640625,28.719834208802933,28.099453584271714,28.239538875051814,261083600
2015-03-19,28.35072135925293,28.739848907321107,28.328485838655613,28.628669607873057,183238000
2015-03-20,27.994943618774414,28.550838333740565,27.830398756001053,28.517485906223897,274780400
2015-03-23,28.28623390197754,28.428543253152814,28.1328059435543,28.266222444684743,150838800
2015-03-24,28.17059898376465,28.47078092382053,28.141691292951904,28.29067277766344,131369200
2015-03-25,27.434595108032227,28.199509002111668,27.434595108032227,28.13724888449329,206620800
2015-03-26,27.625823974609375,27.76813330160785,27.261156112118154,27.29673429209827,190291600
2015-03-27,27.405691146850586,27.728110364111448,27.33009005453991,27.699204363485794,158184800
2015-03-30,28.099451065063477,28.10612155024622,27.57246068163208,27.58357928791074,188398800
2015-03-31,27.668073654174805,28.126131711225387,27.652508623977777,28.037187954473346,168362400
