Date,Close,High,Low,Open,Volume
2015-01-02,39.76769256591797,40.3289986387916,39.58059270446841,39.68264746928294,27913900
2015-01-05,39.402000427246094,39.74218409579739,39.33396174697813,39.43601652311724,39673900
2015-01-06,38.82367706298828,39.759186024687814,38.73012551796589,39.44451530037247,36447900
2015-01-07,39.31694793701172,39.51255425579138,38.687606432114116,39.10433194995611,29114100
2015-01-08,40.47356033325195,40.6096343710074,39.733657955723004,39.7591708239706,29645200
2015-01-09,40.133392333984375,40.669185526891724,39.88676025595875,40.490588877343434,23944200
2015-01-12,39.63161087036133,40.43104890029368,39.42750137984462,40.32899091077347,23651900
2015-01-13,39.427513122558594,40.7457317259793,39.17237456129375,39.946296702212706,35270600
2015-01-14,39.08731460571289,39.3254466705493,38.79815679033158,39.08731460571289,29719600
2015-01-15,38.67909622192383,39.44451499874286,38.61956401086704,39.308440910004165,32750800
2015-01-16,39.325435638427734,39.35945171449439,38.415436663099534,38.534504284246154,35695300
2015-01-20,39.4530143737793,39.67413677414309,38.75563433126924,39.37647250353981,36161900
2015-01-21,39.053287506103516,39.240390538908585,38.67908468475459,39.070297167655,39081100
2015-01-22,40.08234405517578,40.090847262359866,39.18935806485707,39.44449645576803,35898000
2015-01-23,40.12488555908203,40.303482192771604,39.80170838078981,40.27796931489086,26211600
2015-01-26,39.98030471801758,40.08236271730814,39.32545039934502,39.97180150687445,42525500
2015-01-27,36.280799865722656,36.740051277200166,35.8130452403718,36.52743524347131,169164000
2015-01-28,35.03059768676758,36.391341516488396,35.005084814621924,36.34881898149182,84507100
2015-01-29,35.72797393798828,35.82152545183799,34.69041056575057,34.809474949100704,63585300
2015-01-30,34.358741760253906,35.362289389740624,34.31621597120237,35.33677326745726,78004900
2015-02-02,35.10714340209961,35.18368527120205,34.21415709207899,34.52032456848876,50352500
2015-02-03,35.37930679321289,35.659961515603534,34.911552166825025,35.40482292341591,52082400
2015-02-04,35.583404541015625,35.898075229949285,35.17518231757854,35.668449620966825,41614800
2015-02-05,36.10219192504883,36.2637788923907,35.600418112052054,35.90658562428903,36548200
2015-02-06,36.06815719604492,36.391334237043694,35.847038111736794,36.29778273220767,34616600
2015-02-09,36.0256462097168,36.348823354239514,35.898075345118876,35.92359146459557,31381100
2015-02-10,36.22976303100586,36.374343589756656,35.87256972867303,36.348830709379314,29670700
2015-02-11,36.042659759521484,36.27228539399115,35.89807921444257,36.27228539399115,38262500
2015-02-12,36.646484375,36.646484375,36.15321382582502,36.28078469040803,33268800
2015-02-13,37.30986022949219,37.30986022949219,36.697528266015624,36.893134625318446,40264900
2015-02-17,37.32697677612305,37.68671200419879,36.99293272060279,37.66101756429336,33695700
2015-02-18,37.28414535522461,37.42975479346381,37.16423362217449,37.36979892693875,27111700
2015-02-19,37.25845718383789,37.28415162599881,36.873024214672974,36.984372242954,27603400
2015-02-20,37.56679916381836,37.583929879038074,37.07858521578103,37.26701654849818,29721100
2015-02-23,37.81520462036133,37.849462797028075,37.38694637219122,37.429771543538,32518800
2015-02-24,37.7638053894043,37.94367303582146,37.61819591324479,37.81519754581657,25271700
2015-02-25,37.67815017700195,37.76380049256559,37.5154100031409,37.643888743836456,29759800
2015-02-26,37.73810577392578,37.88371196278353,37.59249631771796,37.678149900002,28957300
2015-02-27,37.5582389831543,37.858021652835546,37.39550206008191,37.798065772369384,33807700
2015-03-02,37.58393478393555,37.849452736117925,37.30128284694754,37.40406388432942,31924000
2015-03-03,37.07002258300781,37.541109138563314,36.90728567031151,37.30984935693158,31748600
2015-03-04,36.8816032409668,37.01007876104158,36.72743000299602,36.83877480025725,25748700
2015-03-05,36.92442321777344,37.0357712667154,36.676032672960915,36.89016177696809,23193500
2015-03-06,36.28203201293945,36.92441925603725,36.10216436903619,36.83020193760683,36248800
2015-03-09,36.70172119140625,36.94154797095327,36.136420578835185,36.136420578835185,32108000
2015-03-10,35.99936294555664,36.58179403049806,35.99936294555664,36.27344777760567,39159700
2015-03-11,35.956539154052734,36.29057985145298,35.836627443944856,36.2391909856062,32215300
2015-03-12,35.13429260253906,35.67389868786478,34.99725015025711,35.39981378330087,59992500
2015-03-13,35.442649841308594,35.519736448643044,34.78313181574736,34.86021842308181,58007700
2015-03-16,35.59680938720703,35.665328974443135,35.35698266350681,35.51972280947295,35273500
2015-03-17,35.71673583984375,35.82808389077463,35.24565245608358,35.434083849177114,31673400
2015-03-18,36.401947021484375,36.684599001979564,35.399824401221295,35.48547473433153,44194800
2015-03-19,36.222076416015625,36.47903066180198,36.162120534243826,36.19637870429164,33879100
2015-03-20,36.72742462158203,36.8130749557488,36.39338374404048,36.45333963142738,71904500
2015-03-23,36.71028518676758,36.94154495494099,36.64176232181988,36.7274159030045,26246100
2015-03-24,36.744529724121094,36.97578611861287,36.61605104509363,36.64174547395971,25513300
2015-03-25,35.51116180419922,36.77024169695081,35.49403108766551,36.761674705008915,43469900
2015-03-26,35.29703140258789,35.639639185497316,35.04864092334605,35.30559839420311,37495600
2015-03-27,35.09147262573242,35.48546932574905,34.97156087071434,35.21994810581596,34401400
2015-03-30,35.082908630371094,35.57968967771377,35.040083466684784,35.20282039563297,35049700
